"YEAR","MONTH","UNIQUE_CARRIER","CARRIER","SDOM_GALLONS","NDOM_GALLONS","TDOMT_GALLONS","SDOM_COST","TS_COST","NDOM_COST","TDOMT_COST","TOTAL_COST"
2007,1,"16","16",5598010,0,5598010,10312055,10312055,0,10312055,10312055
2007,1,"3Z","3Z",0,0,244626,0,729777,0,739539,739539
2007,1,"5X","5X",0,35193000,35193000,0,44191000,60907000,60907000,105098000
2007,1,"5Y","5Y",601432,2164452,2765884,1185163,6601910,4451905,5637068,43654352
2007,1,"8C","8C",0,3449332,3449332,0,0,6835065,6835065,9130616
2007,1,"9S","9S",0,176963,176963,0,0,425210,425210,425210
2007,1,"AA","AA",155340701,242293,155582994,269131128,420911585,242038,269373166,422274284
2007,1,"ABX","ABX",9721608,943607,10665215,19099057,19099057,1467015,20566072,20566072
2007,1,"AJQ","AJQ",0,98207,98207,0,0,211353,211353,211353
2007,1,"AQ","AQ",4149668,0,4149668,7709733,7709733,0,7709733,7709733
2007,1,"AS","AS",25039141,6244,26877516,45143718,51695934,10890,48612308,51755349
2007,1,"AX","AX",4103060,0,4103060,7339443,7339443,0,7339443,7339443
2007,1,"B6","B6",34156366,0,34156366,64642826,64642826,0,64642826,64642826
2007,1,"CO","CO",65612000,12000,65624000,121902000,223397000,20000,121922000,223520000
2007,1,"CS","CS",0,0,0,0,10170000,0,0,10270000
2007,1,"DL","DL",97585234,18780,97604014,191452797,302169332,354673,191807470,302782505
2007,1,"E0","E0",0,0,0,0,1372887,0,0,1413587
2007,1,"E9","E9",49559,157956,207515,120521,120521,384129,504650,504650
2007,1,"ER","ER",0,195422,195422,0,0,514938,514938,801887
2007,1,"EV","EV",15085562,0,15085562,27337604,27613741,0,27337604,27613741
2007,1,"EZ","EZ",0,0,0,0,0,0,0,13445067
2007,1,"F2","F2",0,42711,42711,0,0,79870,79870,2145408
2007,1,"F9","F9",14955498,7984,14963482,27161515,27161515,16941,27178456,27178456
2007,1,"FL","FL",26672616,0,26672616,47266460,47320742,0,47266460,47320742
2007,1,"FX","FX",65742583,1353027,67095610,115039000,171970000,2372000,117411000,176503000
2007,1,"G4","G4",3850047,664208,4514255,7564577,7564577,1359327,8923904,9251945
2007,1,"G7","G7",1476495,0,1476495,2779346,2779346,0,2779346,2779346
2007,1,"GFQ","GFQ",0,277431,277431,0,0,629068,629068,647906
2007,1,"GL","GL",0,548834,548834,0,0,1190970,1190970,2839071
2007,1,"GR","GR",0,23600,23600,0,0,41279,41279,10657473
2007,1,"HA","HA",9520406,185551,9705957,17363378,18796471,333964,17697342,19130435
2007,1,"HP","HP",33849821,3352,33853173,63410166,66419833,6574,63416740,66456915
2007,1,"JW","JW",0,0,0,0,7035463,0,0,7229852
2007,1,"KAQ","KAQ",0,2153825,2153825,0,1198613,3939574,3939574,18115228
2007,1,"KR","KR",0,1439974,1439974,0,0,2788568,2788568,2788568
2007,1,"L2","L2",0,48257,171809,0,237472,47229,366603,1413065
2007,1,"M6","M6",0,10075,10075,0,3475469,19646,19646,3680277
2007,1,"MG","MG",0,1810912,1810912,0,0,3898611,3898611,5701580
2007,1,"MQ","MQ",22778026,0,22778026,43236779,44171865,0,43236779,44171865
2007,1,"MY","MY",0,9533,9533,0,1980367,17952,17952,1998319
2007,1,NA,NA,0,3389,3389,0,2580570,8133,8133,8111320
2007,1,"NC","NC",0,19875,432828,0,839272,47008,923966,923966
2007,1,"NK","NK",6578881,0,6578881,12053313,13817256,0,12053313,13817256
2007,1,"NW","NW",72180076,150134,72330210,147643881,256788652,300268,147944149,257088920
2007,1,"OH","OH",13336090,316693,13652783,23624283,23662608,561007,24185290,24223615
2007,1,"OO","OO",21576035,0,21576035,43641685,43641685,0,43641685,43641685
2007,1,"OW","OW",297250,0,297250,598185,2719024,0,598185,2719024
2007,1,"PCQ","PCQ",0,258815,258815,0,0,775882,775882,876831
2007,1,"PO","PO",834619,82119,916738,1644473,20351374,176560,1821033,22001692
2007,1,"PRQ","PRQ",0,102449,102449,0,414812,187806,187806,2470669
2007,1,"QX","QX",4602725,47277,4650002,9349455,9505715,96017,9445472,9601732
2007,1,"RD","RD",0,40539,40539,0,0,88582,88582,126574
2007,1,"RW","RW",4169299,0,4169299,7215978,7215978,0,7215978,7215978
2007,1,"S5","S5",6287904,0,6287904,10511708,10648613,0,10511708,10648613
2007,1,"SY","SY",3036700,19803,3056503,5954954,7589298,41375,5996329,7766657
2007,1,"TZ","TZ",4768038,997306,5765344,8547317,8979199,1867226,10414543,15872139
2007,1,"U5","U5",1218079,4228,1222307,2440479,5330058,7584,2448063,5843116
2007,1,"U7","U7",0,688918,688918,0,0,1188383,1188383,1201531
2007,1,"UA","UA",104875205,76695,104951900,199456427,349338128,145578,199602005,349787680
2007,1,"US","US",50606185,0,50606185,89200467,114500776,0,89200467,114500776
2007,1,"WE","WE",0,0,0,0,0,0,0,3676906
2007,1,"WN","WN",119510224,0,119510224,198506609,198506609,0,198506609,198506609
2007,1,"WO","WO",0,58792,58792,0,0,106700,106700,11820790
2007,1,"X9","X9",0,549837,549837,0,0,0,874234,13750078
2007,1,"XE","XE",23065770,0,23065770,15223408,16762909,0,15223408,16762909
2007,1,"XJ","XJ",1557225,0,1557225,1300283,1300283,0,1300283,1300283
2007,1,"XP","XP",0,349780,349780,0,0,853369,853369,1004566
2007,1,"YV","YV",9796718,0,9796718,29698484,29698484,0,29698484,29698484
2007,1,"YX","YX",8284531,150867,8435398,14664711,14664711,345437,15010148,15010148
2007,1,"ZW","ZW",7199021,0,7199021,13984878,13984878,0,13984878,13984878
2007,2,"16","16",5012103,0,5012103,9796064,9796064,0,9796064,9796064
2007,2,"3Z","3Z",0,0,231256,0,712739,0,734086,734086
2007,2,"5X","5X",0,32558000,32558000,0,35889000,58465000,58465000,94354000
2007,2,"5Y","5Y",558086,2037606,2595692,1084717,6855826,4175364,5260081,56471063
2007,2,"8C","8C",0,2990714,2990714,0,0,5861210,5861210,8145050
2007,2,"9S","9S",0,0,0,0,0,0,0,280227
2007,2,"AA","AA",138813877,215167,139029044,234472035,363118255,379244,234851279,363678362
2007,2,"ABX","ABX",9395925,905828,10301753,18096461,18096461,1415404,19511865,19511865
2007,2,"AJQ","AJQ",0,85457,85457,0,0,187664,187664,187664
2007,2,"AQ","AQ",3845345,0,3845345,7147540,7147540,0,7147540,7147540
2007,2,"AS","AS",22877581,0,24484729,42120438,48206534,0,45139693,48257611
2007,2,"AX","AX",3703726,0,3703726,7260397,7260397,0,7260397,7260397
2007,2,"B6","B6",30027574,0,30027574,55643141,55643141,0,55643141,55643141
2007,2,"CO","CO",60796000,52000,60848000,108615000,193448000,88000,108703000,193585000
2007,2,"CS","CS",0,0,0,0,8287000,0,0,8528000
2007,2,"DL","DL",87530810,101902,87632712,165109404,257528582,192218,165301622,257964786
2007,2,"E0","E0",0,22552,22552,0,1284055,41405,41405,1458495
2007,2,"E9","E9",49239,112429,161668,118454,118454,270470,388924,388924
2007,2,"ER","ER",0,40119,40119,0,0,94085,94085,319144
2007,2,"EV","EV",12979663,0,12979663,25536429,25794373,0,25536429,25794373
2007,2,"EZ","EZ",0,308286,308286,0,0,580421,580421,11840998
2007,2,"F2","F2",0,0,0,0,0,0,0,1835537
2007,2,"F9","F9",13687675,6810,13694485,24941001,24941001,13137,24954138,24954138
2007,2,"FL","FL",25924764,0,25924764,47467456,47546464,0,47467456,47546464
2007,2,"FX","FX",63015148,1437109,64465539,109219000,158019000,2510000,111754000,161951000
2007,2,"G4","G4",4026210,699293,4725503,8077054,8077054,1442100,9519154,9852220
2007,2,"G7","G7",1345644,0,1345644,2813829,2813829,0,2813829,2813829
2007,2,"GFQ","GFQ",0,386165,386165,0,0,900050,900050,904373
2007,2,"GL","GL",0,419017,419017,0,0,867365,867365,2037187
2007,2,"GR","GR",0,18988,18988,0,0,35387,35387,10937019
2007,2,"HA","HA",8548415,162407,8710822,15518979,16737807,295804,15814783,17033611
2007,2,"HP","HP",30012170,64979,30077149,53864145,56441004,125249,53989394,56609638
2007,2,"JW","JW",0,0,0,0,6334122,0,0,6334122
2007,2,"KAQ","KAQ",0,2553688,2553688,0,736008,4780512,4780512,15849439
2007,2,"KR","KR",0,1288063,1288063,0,0,2519082,2519082,2519082
2007,2,"L2","L2",0,86082,328826,0,258507,128031,790034,1556852
2007,2,"M6","M6",0,17299,17299,0,3296027,34371,34371,3446862
2007,2,"MG","MG",0,1448077,1448077,0,0,3016054,3016054,5365713
2007,2,"MQ","MQ",19859630,0,19859630,36802660,37562503,0,36802660,37562503
2007,2,"MY","MY",0,9865,9865,0,1491607,17347,17347,1508954
2007,2,NA,NA,0,8323,8323,0,1930434,16647,16647,7884975
2007,2,"NC","NC",0,15539,410129,0,933898,39608,995836,995836
2007,2,"NK","NK",7413413,0,7413413,13997630,15755116,0,13997630,15755116
2007,2,"NW","NW",68112189,105985,68218174,104183628,176886760,0,104374402,177077534
2007,2,"OH","OH",10877069,424398,11301467,19593008,19626538,764474,20357482,20391012
2007,2,"OO","OO",20317565,0,20317565,39867954,39867954,0,39867954,39867954
2007,2,"OW","OW",256699,0,256699,510770,2321683,0,510770,2321683
2007,2,"PCQ","PCQ",0,146652,146652,0,0,393577,393577,553369
2007,2,"PO","PO",671271,111761,783032,1304707,14342074,246278,1550985,17875132
2007,2,"PRQ","PRQ",0,120340,120340,0,158726,234848,234848,2189194
2007,2,"QX","QX",4563883,46789,4610672,9093527,9225114,93183,9186710,9318297
2007,2,"RD","RD",0,0,0,0,0,0,0,35822
2007,2,"RW","RW",3664223,0,3664223,6614413,6614413,0,6614413,6614413
2007,2,"S5","S5",4822654,0,4822654,9409542,9527190,0,9409542,9527190
2007,2,"SY","SY",2860918,2672,2863590,5705146,7911648,5641,5710787,7937942
2007,2,"TZ","TZ",4204713,871465,5076178,7655021,8051841,1703251,9358272,15012017
2007,2,"U5","U5",1046401,10102,1056503,2161872,5437035,20147,2182019,5956870
2007,2,"U7","U7",0,760045,760045,0,0,1336312,1336312,1344965
2007,2,"UA","UA",94382971,283316,94666287,172220704,306573730,514023,172734727,307342987
2007,2,"US","US",45067534,0,45067534,79120543,101091160,0,79120543,101091160
2007,2,"WE","WE",0,0,0,0,0,0,0,3980373
2007,2,"WN","WN",109813067,0,109813067,173439286,173439286,0,173439286,173439286
2007,2,"WO","WO",0,77983,77983,0,0,142499,142499,7410010
2007,2,"X9","X9",0,360188,360188,0,0,498276,498276,8315160
2007,2,"XE","XE",20548488,0,20548488,13989161,15404916,0,13989161,15404916
2007,2,"XJ","XJ",1375837,0,1375837,1148824,1148824,0,1148824,1148824
2007,2,"XP","XP",0,336545,336545,0,0,814439,814439,1150431
2007,2,"YV","YV",12015995,0,12015995,24664928,24664928,0,24664928,24664928
2007,2,"YX","YX",7587521,151319,7738840,14016645,14016645,276694,14293339,14293339
2007,2,"ZW","ZW",6164298,0,6164298,11945926,11945926,0,11945926,11945926
2007,3,"16","16",5428768,0,5428768,10466223,10466223,0,10466223,10466223
2007,3,"3Z","3Z",0,0,267772,0,853002,0,923402,923402
2007,3,"5X","5X",0,36351000,36351000,0,44964000,67154000,67154000,112118000
2007,3,"5Y","5Y",605477,2666834,3272311,1265104,8480945,5716507,6981611,68318519
2007,3,"8C","8C",0,3753706,3753706,0,0,7761494,7761494,10850418
2007,3,"9S","9S",0,0,0,0,0,0,0,170854
2007,3,"AA","AA",156964911,205738,157170649,285709368,441708240,380067,286089435,442238746
