"ID","dstOffset","rawOffset","status","timeZoneId","timeZoneName"
"ADK",0,-36000,"OK","America/Adak","Hawaii-Aleutian Standard Time"
"AKK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"Z13",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"KKI",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AKI",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"KQA",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AUK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"Z25",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"Z33",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"5A8",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"4AK7",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"6A8",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AFM",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"80A",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AK81",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AKP",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"CSR",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AK38",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AA06",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AA04",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"2OK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AK36",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AK82",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"64AK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AK12",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"A13",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AK37",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"ANC",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"MRI",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"3C3",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"EDF",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AK91",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"6AK5",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"9AK5",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"FRN",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"Z41",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"LHD",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"2AK0",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"0AK9",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AK00",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"00AK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AGN",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"ANI",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"ANN",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"Z43",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"ANV",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"K40",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"ARC",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AKA",0,-36000,"OK","America/Adak","Hawaii-Aleutian Standard Time"
"4A2",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"ATK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"ATU",0,-36000,"OK","America/Adak","Hawaii-Aleutian Standard Time"
"BNF",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"BRW",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"BTI",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"BQV",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"Z47",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AK02",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"Z48",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"Z52",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"WBQ",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"KBE",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"BLG",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"Z58",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"Z59",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"BET",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"BTT",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"2A4",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"85AK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AA01",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AA02",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"86AK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"91AK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"20AK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AK86",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"08AK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"09AK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"BGQ",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AK87",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AK95",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"9AK7",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"63AK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"D71",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"68AK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"L95",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AA07",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"95AK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"6A7",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"37AK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"Z91",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"BCV",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"5BK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AK97",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"BYA",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"KTS",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AK98",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"BVK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AK75",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"TTW",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"15AK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"CDE",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"LUR",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"EHM",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"Z71",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"CZF",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"26AK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"CSP",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"CEM",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"CIK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"5CD",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"WCR",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"CYM",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"CFK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AK13",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"C05",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"KCN",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"VAK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"48AK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"CKX",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"Z78",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"KCL",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AJC",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"A79",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"CZN",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"CZO",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"CXC",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"9A3",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"AK24",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"CRC",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"CHP",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"96AK",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"CLP",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"Z84",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"CLF",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"Z86",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
"KCC",0,-32400,"OK","America/Anchorage","Alaska Standard Time"
